"bay","behavior","site_track","x","y"
"FB","none","177264_4",529670.250985508,5371058.25274581
"FB","none","177264_4",529664.459464249,5371046.7089116
"FB","none","177264_4",529659.128735324,5371032.51009392
"FB","none","177264_4",529653.198456128,5371022.65438171
"FB","none","177264_4",529647.40693487,5371011.1105475
"FB","none","177264_4",529641.791632508,5370998.31685195
"FB","none","177264_4",529647.947293257,5370983.10636984
"FB","none","177264_4",529651.579049246,5370974.13239306
"FB","none","177264_4",529655.210805235,5370965.15841628
"FB","none","177264_4",529655.63401472,5370964.11267635
"FB","none","177264_4",529656.057224206,5370963.06693642
"FB","none","177264_4",529657.0207962,5370960.6859744
"FB","none","177264_4",529658.688058022,5370956.56621283
"FB","none","177264_4",529659.651630015,5370954.18525081
"FB","none","177264_4",529660.615202009,5370951.8042888
"FB","none","177264_4",529662.282463831,5370947.68452723
"FB","none","177264_4",529662.705673317,5370946.6387873
"FB","none","177264_4",529663.66924531,5370944.25782528
"FB","none","177264_4",529665.336507133,5370940.13806371
"FB","none","177264_4",529665.759716618,5370939.09232378
"FB","none","177264_4",529666.723288612,5370936.71136176
"FB","none","177264_4",529665.223518729,5370940.41725513
"FB","none","177264_4",529664.112482446,5370943.16259748
"FB","none","177264_4",529660.982912259,5370950.89568546
"FB","none","177264_4",529657.853342073,5370958.62877345
"FB","none","177264_4",529654.723771887,5370966.36186144
"FB","none","177264_4",529651.594201701,5370974.09494942
"FB","none","177264_4",529648.464631515,5370981.82803741
"FB","none","177264_4",529645.335061329,5370989.5611254
"FB","none","177264_4",529642.205491143,5370997.29421338
"FB","none","177264_4",529639.075920956,5371005.02730137
"FB","none","177264_4",529615.505629258,5371016.75612306
"FB","none","177264_4",529592.67711811,5371029.66276868
"FB","none","177264_4",529587.920313182,5371066.10314636
"FB","none","177264_4",529583.053855637,5371103.38353826
"FB","none","177264_4",529578.208665217,5371140.50100608
"FB","none","177264_4",529573.451860288,5371176.94138376
"FB","none","177264_4",529568.586630972,5371214.21236782
"FB","none","177264_4",529563.741440552,5371251.32983564
"FB","none","177264_4",529558.984635623,5371287.77021332
"FB","none","177264_4",529554.118178079,5371325.05060522
"FB","none","177264_4",529540.485532249,5371369.19248341
"FB","none","177264_4",529529.026068041,5371406.29770024
"FB","none","177264_4",529517.566603834,5371443.40291707
"FB","none","177264_4",529506.107139627,5371480.5081339
"FB","none","177264_4",529502.924520934,5371490.81330611
"FB","none","177264_4",529499.741902242,5371501.11847831
"FB","none","177264_4",529496.559283549,5371511.42365052
"FB","none","177264_4",529493.899146879,5371520.03705012
"FB","none","177264_4",529491.239010209,5371528.65044972
"FB","none","177264_4",529488.57887354,5371537.26384932
"FB","none","177264_4",529486.740259493,5371543.21719663
"FB","none","177264_4",529484.901645446,5371549.17054394
"FB","none","177264_4",529483.0630314,5371555.12389125
"FB","none","177264_4",529481.224417353,5371561.07723857
"FB","none","177264_4",529479.385803307,5371567.03058588
"FB","none","177264_4",529477.54718926,5371572.98393319
"FB","none","177264_4",529475.897987925,5371578.32397105
"FB","none","177264_4",529474.248786589,5371583.66400892
"FB","none","177264_4",529491.859723946,5371595.65017069
"FB","none","177264_4",529509.470661303,5371607.63633246
"FB","none","177264_4",529527.08159866,5371619.62249423
"FB","none","177264_4",529537.702204233,5371623.81407362
"FB","none","177264_4",529548.322809806,5371628.00565301
"FB","none","177264_4",529558.943415379,5371632.1972324
"FB","none","177264_4",529569.564020952,5371636.38881179
"FB","none","177264_4",529580.184626526,5371640.58039118
"FB","none","177264_4",529590.805232099,5371644.77197057
"FB","none","177264_4",529601.425837672,5371648.96354996
"FB","none","177264_4",529608.463200314,5371646.20925714
"FB","none","177264_4",529615.500562957,5371643.45496431
"FB","none","177264_4",529622.537925599,5371640.70067149
"FB","none","177264_4",529629.575288242,5371637.94637867
"FB","none","177264_4",529636.612650885,5371635.19208584
"FB","none","177264_4",529643.650013527,5371632.43779302
"FB","none","177264_4",529650.68737617,5371629.68350019
"FB","none","177264_4",529657.724738812,5371626.92920737
"FB","none","177264_4",529664.762101455,5371624.17491455
"FB","none","177264_4",529671.799464097,5371621.42062172
"FB","none","177264_4",529678.83682674,5371618.6663289
"FB","none","177264_4",529685.874189383,5371615.91203608
"FB","none","177264_4",529692.226456611,5371608.96107018
"FB","none","177264_4",529698.578723839,5371602.01010429
"FB","none","177264_4",529704.930991067,5371595.05913839
"FB","none","177264_4",529711.283258295,5371588.10817249
"FB","none","177264_4",529717.635525523,5371581.1572066
"FB","none","177264_4",529723.987792751,5371574.2062407
"FB","none","177264_4",529730.340059979,5371567.2552748
"FB","none","177264_4",529736.692327207,5371560.30430891
"FB","none","177264_4",529743.044594435,5371553.35334301
"FB","none","177264_4",529749.396861663,5371546.40237712
"FB","none","177264_4",529755.749128891,5371539.45141122
"FB","none","177264_4",529762.101396119,5371532.50044532
"FB","none","177264_4",529761.671238106,5371500.46192132
"FB","none","177264_4",529761.241080092,5371468.42339732
"FB","none","177264_4",529760.810922079,5371436.38487332
"FB","none","177264_4",529766.089247346,5371424.60934989
"FB","none","177264_4",529771.367572613,5371412.83382647
"FB","none","177264_4",529776.64589788,5371401.05830305
"FB","none","177264_4",529783.254863128,5371376.60235264
"FB","none","177264_4",529789.863828376,5371352.14640223
